,UF,Instituição de Ensino,Contagem
0,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
1,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6
2,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1
3,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
4,PI,Instituto Federal do Piauí,1
5,TO,Universidade de Guripi,1
6,SP,Universidade de São Paulo,3
7,BA,Universidade do Estado da Bahia,6
8,MT,Universidade do Estado de Mato Grosso,4
9,SC,Universidade do Estado de Santa Catarina,1
10,AM,Universidade do Estado do Amazonas,1
11,RJ,Universidade do Estado do Rio de Janeiro,2
12,PB,Universidade Estadual da Paraíba,7
13,SP,Universidade Estadual de Campinas,9
14,BA,Universidade Estadual de Feira de Santana,3
15,GO,Universidade Estadual de Goiás,2
16,PR,Universidade Estadual de Londrina,3
17,PR,Universidade Estadual de Maringá,4
18,MS,Universidade Estadual de Mato Grosso do Sul,3
19,BA,Universidade Estadual de Santa Cruz,1
20,CE,Universidade Estadual do Ceará,1
21,RJ,Universidade Estadual do Norte Fluminense,1
22,PR,Universidade Estadual do Oeste do Paraná,2
23,PR,Universidade Estadual do Paraná,1
24,BA,Universidade Estadual do Sudoeste da Bahia,2
25,CE,Universidade Estadual do Vale do Acaraú,3
26,PR,Universidade Federal da Integração Latino-Americana,2
27,PB,Universidade Federal da Paraíba,3
28,MS,Universidade Federal de Mato Grosso do Sul,3
29,AL,Universidade Federal de Alagoas,2
30,MG,Universidade Federal de Ouro Preto,2
31,RS,Universidade Federal de Pelotas,4
