,UF,Instituição de ensino,Contagem
0,ES,Universidade Federal do Espírito Santo,49.0
1,SP,Universidade Estadual de Campinas,9.0
2,PB,Universidade Estadual da Paraíba,7.0
3,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6.0
4,BA,Universidade do Estado da Bahia,6.0
5,MS,Universidade Estadual de Mato Grosso do Sul,6.0
6,AM,Universidade Federal do Amazonas,5.0
7,MT,Universidade Federal do Mato Grosso,5.0
8,MT,Universidade do Estado de Mato Grosso,4.0
9,PR,Universidade Estadual de Maringá,4.0
10,RS,Universidade Federal de Pelotas,4.0
11,MG,Universidade Federal de Uberlândia,4.0
12,MA,Universidade Federal do Maranhão,4.0
13,PE,Universidade Federal Rural de Pernambuco,4.0
14,SP,Universidade de São Paulo,3.0
15,BA,Universidade Estadual de Feira de Santana,3.0
16,PR,Universidade Estadual de Londrina,3.0
17,CE,Universidade Estadual do Vale do Acaraú,3.0
18,PB,Universidade Federal da Paraíba,3.0
19,MS,Universidade Federal de Mato Grosso do Sul,3.0
20,SE,Universidade Federal de Sergipe,3.0
21,RJ,Universidade do Estado do Rio de Janeiro,2.0
22,GO,Universidade Estadual de Goiás,2.0
23,PR,Universidade Estadual do Oeste do Paraná,2.0
24,BA,Universidade Estadual do Sudoeste da Bahia,2.0
25,PR,Universidade Federal da Integração Latino-Americana,2.0
26,AL,Universidade Federal de Alagoas,2.0
27,MG,Universidade Federal de Ouro Preto,2.0
28,RS,Universidade Federal de Rio Grande,2.0
29,RO,Universidade Federal de Rondônia,2.0
30,RS,Universidade Federal do Rio Grande do Sul,2.0
31,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1.0
32,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1.0
33,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1.0
34,PI,Instituto Federal do Piauí,1.0
35,TO,Universidade de Guripi,1.0
36,SC,Universidade do Estado de Santa Catarina,1.0
37,AM,Universidade do Estado do Amazonas,1.0
38,BA,Universidade Estadual de Santa Cruz,1.0
39,CE,Universidade Estadual do Ceará,1.0
40,RJ,Universidade Estadual do Norte Fluminense,1.0
41,PR,Universidade Estadual do Paraná,1.0
42,RS,Universidade Federal de Santa Maria,1.0
43,SP,Universidade Federal de São Carlos,1.0
44,AC,Universidade Federal do Acre,1.0
45,AP,Universidade Federal do Amapá,1.0
46,CE,Universidade Federal do Ceará,1.0
47,PA,Universidade Federal do Oeste do Pará,1.0
48,PA,Universidade Federal do Pará,1.0
49,RJ,Universidade Federal do Rio de Janeiro,1.0
50,RJ,Universidade Federal Rural do Rio de Janeiro,1.0
51,PR,Universidade Tecnológica Federal do Paraná,1.0
52,,,
53,,,
54,,,
55,,,
56,,,
57,,,
58,,,
59,,,
60,,,
61,,,
62,,,
63,,,
64,,,
65,,,
66,,,
67,,,
68,,,
69,,,
70,,,
71,,,
72,,,
73,,,
74,,,
75,,,
76,,,
77,,,
78,,,
79,,,
80,,,
81,,,
82,,,
83,,,
84,,,
85,,,
86,,,
87,,,
88,,,
89,,,
90,,,
91,,,
92,,,
93,,,
94,,,
95,,,
96,,,
97,,,
98,,,
99,,,
100,,,
101,,,
102,,,
103,,,
104,,,
105,,,
106,,,
107,,,
108,,,
109,,,
110,,,
111,,,
112,,,
113,,,
114,,,
115,,,
116,,,
117,,,
118,,,
119,,,
120,,,
121,,,
122,,,
123,,,
124,,,
125,,,
