,UF,Instituição de ensino,Contagem
0,ES,Universidade Federal do Espírito Santo,27
1,SP,Universidade Estadual de Campinas,7
2,MS,Universidade Estadual de Mato Grosso do Sul,4
3,DF,Universidade de Brasília,3
4,MG,Universidade Federal de Viçosa,3
5,MA,Universidade Federal do Maranhão,3
6,BA,Universidade do Estado da Bahia,2
7,MT,Universidade do Estado de Mato Grosso,2
8,GO,Universidade Estadual de Goiás,2
9,PR,Universidade Estadual de Maringá,2
10,MT,Universidade Federal do Mato Grosso,2
11,RS,Universidade Federal do Rio Grande do Sul,2
12,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1
13,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1
14,ES,Faculdade de Música do Espírito Santo,1
15,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
16,RS,Instituto Federal do Rio Grande do Sul,1
17,AM,Universidade do Estado do Amazonas,1
18,PB,Universidade Estadual da Paraíba,1
19,PR,Universidade Estadual de Londrina,1
20,PR,Universidade Estadual do Oeste do Paraná,1
21,CE,Universidade Estadual do Vale do Acaraú,1
22,MG,Universidade Federal de Juiz de Fora,1
23,RO,Universidade Federal de Rondônia,1
24,RR,Universidade Federal de Roraima,1
25,RS,Universidade Federal de Santa Maria,1
26,SP,Universidade Federal de São Carlos,1
27,SP,Universidade Federal do ABC,1
28,AC,Universidade Federal do Acre,1
29,AM,Universidade Federal do Amazonas,1
30,CE,Universidade Federal do Ceará,1
31,BA,Universidade Federal do Oeste da Bahia,1
32,PR,Universidade Federal do Paraná,1
33,BA,Universidade Federal do Sul da Bahia,1
