,UF,Instituição de ensino,Contagem
0,ES,Universidade Federal do Espírito Santo,76
1,SP,Universidade Estadual de Campinas,16
2,MS,Universidade Estadual de Mato Grosso do Sul,10
3,BA,Universidade do Estado da Bahia,8
4,PB,Universidade Estadual da Paraíba,8
5,MA,Universidade Federal do Maranhão,7
6,MT,Universidade Federal do Mato Grosso,7
7,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6
8,MT,Universidade do Estado de Mato Grosso,6
9,PR,Universidade Estadual de Maringá,6
10,AM,Universidade Federal do Amazonas,6
11,GO,Universidade Estadual de Goiás,4
12,PR,Universidade Estadual de Londrina,4
13,CE,Universidade Estadual do Vale do Acaraú,4
14,RS,Universidade Federal de Pelotas,4
15,MG,Universidade Federal de Uberlândia,4
16,RS,Universidade Federal do Rio Grande do Sul,4
17,PE,Universidade Federal Rural de Pernambuco,4
18,DF,Universidade de Brasília,3
19,SP,Universidade de São Paulo,3
20,BA,Universidade Estadual de Feira de Santana,3
21,PR,Universidade Estadual do Oeste do Paraná,3
22,PB,Universidade Federal da Paraíba,3
23,MS,Universidade Federal de Mato Grosso do Sul,3
24,RO,Universidade Federal de Rondônia,3
25,SE,Universidade Federal de Sergipe,3
26,MG,Universidade Federal de Viçosa,3
27,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2
28,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2
29,AM,Universidade do Estado do Amazonas,2
30,RJ,Universidade do Estado do Rio de Janeiro,2
31,BA,Universidade Estadual do Sudoeste da Bahia,2
32,PR,Universidade Federal da Integração Latino-Americana,2
33,AL,Universidade Federal de Alagoas,2
34,MG,Universidade Federal de Ouro Preto,2
35,RS,Universidade Federal de Rio Grande,2
36,RS,Universidade Federal de Santa Maria,2
37,SP,Universidade Federal de São Carlos,2
38,AC,Universidade Federal do Acre,2
39,CE,Universidade Federal do Ceará,2
40,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1
41,ES,Faculdade de Música do Espírito Santo,1
42,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1
43,PI,Instituto Federal do Piauí,1
44,RS,Instituto Federal do Rio Grande do Sul,1
45,TO,Universidade de Guripi,1
46,SC,Universidade do Estado de Santa Catarina,1
47,BA,Universidade Estadual de Santa Cruz,1
48,CE,Universidade Estadual do Ceará,1
49,RJ,Universidade Estadual do Norte Fluminense,1
50,PR,Universidade Estadual do Paraná,1
51,MG,Universidade Federal de Juiz de Fora,1
52,RR,Universidade Federal de Roraima,1
53,SP,Universidade Federal do ABC,1
54,AP,Universidade Federal do Amapá,1
55,BA,Universidade Federal do Oeste da Bahia,1
56,PA,Universidade Federal do Oeste do Pará,1
57,PA,Universidade Federal do Pará,1
58,PR,Universidade Federal do Paraná,1
59,RJ,Universidade Federal do Rio de Janeiro,1
60,BA,Universidade Federal do Sul da Bahia,1
61,RJ,Universidade Federal Rural do Rio de Janeiro,1
62,PR,Universidade Tecnológica Federal do Paraná,1
