;UF;Instituição de Ensino;Respostas Totais;Porcentagem
0;PE;Autarquia de Ensino Superior de Arco Verde Universidade Federal;1;0,0058
1;MG;Centro Federal de Educação Tecnológica de Minas Gerais;6;0,0351
2;RJ;Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro;1;0,0058
3;RJ;Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro;1;0,0058
4;PI;Instituto Federal do Piauí;1;0,0058
5;TO;Universidade de Guripi;1;0,0058
6;SP;Universidade de São Paulo;3;0,0175
7;BA;Universidade do Estado da Bahia;6;0,0351
8;MT;Universidade do Estado de Mato Grosso;4;0,0234
9;SC;Universidade do Estado de Santa Catarina;1;0,0058
10;AM;Universidade do Estado do Amazonas;1;0,0058
11;RJ;Universidade do Estado do Rio de Janeiro;2;0,0117
12;PB;Universidade Estadual da Paraíba;7;0,0409
13;SP;Universidade Estadual de Campinas;9;0,0526
14;BA;Universidade Estadual de Feira de Santana;3;0,0175
15;GO;Universidade Estadual de Goiás;2;0,0117
16;PR;Universidade Estadual de Londrina;3;0,0175
17;PR;Universidade Estadual de Maringá;4;0,0234
18;MS;Universidade Estadual de Mato Grosso do Sul;3;0,0175
19;BA;Universidade Estadual de Santa Cruz;1;0,0058
20;CE;Universidade Estadual do Ceará;1;0,0058
21;RJ;Universidade Estadual do Norte Fluminense;1;0,0058
22;PR;Universidade Estadual do Oeste do Paraná;2;0,0117
23;PR;Universidade Estadual do Paraná;1;0,0058
24;BA;Universidade Estadual do Sudoeste da Bahia;2;0,0117
25;CE;Universidade Estadual do Vale do Acaraú;3;0,0175
26;PR;Universidade Federal da Integração Latino-Americana;2;0,0117
27;PB;Universidade Federal da Paraíba;3;0,0175
28;MS;Universidade Federal de Mato Grosso do Sul;3;0,0175
29;AL;Universidade Federal de Alagoas;2;0,0117
30;MG;Universidade Federal de Ouro Preto;2;0,0117
31;RS;Universidade Federal de Pelotas;4;0,0234
