,UF,Instituição de Ensino,Respostas Incompletas,Porcentagem
0,ES,Universidade Federal do Espírito Santo,27,"34,18%"
1,SP,Universidade Estadual de Campinas,7,"8,86%"
2,MS,Universidade Estadual de Mato Grosso do Sul,4,"5,06%"
3,DF,Universidade de Brasília,3,"3,80%"
4,MG,Universidade Federal de Viçosa,3,"3,80%"
5,MA,Universidade Federal do Maranhão,3,"3,80%"
6,BA,Universidade do Estado da Bahia,2,"2,53%"
7,MT,Universidade do Estado de Mato Grosso,2,"2,53%"
8,GO,Universidade Estadual de Goiás,2,"2,53%"
9,PR,Universidade Estadual de Maringá,2,"2,53%"
10,MT,Universidade Federal do Mato Grosso,2,"2,53%"
11,RS,Universidade Federal do Rio Grande do Sul,2,"2,53%"
12,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,1,"1,27%"
13,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,"1,27%"
14,ES,Faculdade de Música do Espírito Santo,1,"1,27%"
15,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1,"1,27%"
16,RS,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul",1,"1,27%"
17,PB,Universidade Estadual da Paraíba,1,"1,27%"
18,PR,Universidade Estadual de Londrina,1,"1,27%"
19,PR,Universidade Estadual do Oeste do Paraná,1,"1,27%"
20,CE,Universidade Estadual do Vale do Acaraú,1,"1,27%"
21,RO,Universidade Federal de Rondônia,1,"1,27%"
22,RR,Universidade Federal de Roraima,1,"1,27%"
23,RS,Universidade Federal de Santa Maria,1,"1,27%"
24,SP,Universidade Federal de São Carlos,1,"1,27%"
25,SP,Universidade Federal do ABC,1,"1,27%"
26,AC,Universidade Federal do Acre,1,"1,27%"
27,AM,Universidade Federal do Amazonas,1,"1,27%"
28,CE,Universidade Federal do Ceará,1,"1,27%"
29,BA,Universidade Federal do Oeste da Bahia,1,"1,27%"
30,PR,Universidade Federal do Paraná,1,"1,27%"
31,BA,Universidade Federal do Sul da Bahia,1,"1,27%"
