,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,36,32.73%
1,SP,Universidade Estadual de Campinas,7,6.36%
2,RJ,Universidade do Estado do Rio de Janeiro,6,5.45%
3,MS,Universidade Estadual de Mato Grosso do Sul,4,3.64%
4,MA,Universidade Federal do Maranhão,4,3.64%
5,RJ,Universidade Federal Fluminense,4,3.64%
6,DF,Universidade de Brasília,3,2.73%
7,MT,Universidade do Estado de Mato Grosso,3,2.73%
8,MG,Universidade Federal de Viçosa,3,2.73%
9,RS,Universidade Federal do Rio Grande do Sul,3,2.73%
10,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,1.82%
11,BA,Universidade do Estado da Bahia,2,1.82%
12,GO,Universidade Estadual de Goiás,2,1.82%
13,PR,Universidade Estadual de Londrina,2,1.82%
14,PR,Universidade Estadual de Maringá,2,1.82%
15,MG,Universidade Federal de Juiz de Fora,2,1.82%
16,MT,Universidade Federal do Mato Grosso,2,1.82%
17,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.91%
18,ES,Faculdade de Música do Espírito Santo,1,0.91%
19,AM,Universidade do Estado do Amazonas,1,0.91%
20,PB,Universidade Estadual da Paraíba,1,0.91%
21,PR,Universidade Estadual do Oeste do Paraná,1,0.91%
22,PB,Universidade Federal da Paraíba,1,0.91%
23,AL,Universidade Federal de Alagoas,1,0.91%
24,RO,Universidade Federal de Rondônia,1,0.91%
25,RR,Universidade Federal de Roraima,1,0.91%
26,RS,Universidade Federal de Santa Maria,1,0.91%
27,SP,Universidade Federal de São Carlos,1,0.91%
28,SE,Universidade Federal de Sergipe,1,0.91%
29,SP,Universidade Federal do ABC,1,0.91%
30,AC,Universidade Federal do Acre,1,0.91%
31,AM,Universidade Federal do Amazonas,1,0.91%
32,CE,Universidade Federal do Ceará,1,0.91%
33,BA,Universidade Federal do Oeste da Bahia,1,0.91%
34,PR,Universidade Federal do Paraná,1,0.91%
35,RJ,Universidade Federal do Rio de Janeiro,1,0.91%
36,BA,Universidade Federal do Sul da Bahia,1,0.91%
37,CE,Universidade Estadual do Vale do Acaraú,1,0.91%
38,RS,Instituto Federal do Rio Grande do Sul,1,0.91%
39,MS,Universidade Federal da Grande Dourados,1,0.91%
