UF;Instituição de ensino;Respostas incompletas;Porcentagem
ES;Universidade Federal do Espírito Santo;31;31,30%
SP;Universidade Estadual de Campinas;7;7,10%
RJ;Universidade do Estado do Rio de Janeiro;5;5,10%
MS;Universidade Estadual de Mato Grosso do Sul;4;4,00%
DF;Universidade de Brasília;3;3,00%
MG;Universidade Federal de Viçosa;3;3,00%
MA;Universidade Federal do Maranhão;3;3,00%
RS;Universidade Federal do Rio Grande do Sul;3;3,00%
PE;Autarquia de Ensino Superior de Arco Verde Universidade Federal;2;2,00%
BA;Universidade do Estado da Bahia;2;2,00%
MT;Universidade do Estado de Mato Grosso;2;2,00%
GO;Universidade Estadual de Goiás;2;2,00%
PR;Universidade Estadual de Londrina;2;2,00%
PR;Universidade Estadual de Maringá;2;2,00%
MG;Universidade Federal de Juiz de Fora;2;2,00%
MT;Universidade Federal do Mato Grosso;2;2,00%
RJ;Universidade Federal Fluminense;2;2,00%
RJ;Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;1;1,00%
ES;Faculdade de Música do Espírito Santo;1;1,00%
RJ;Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro;1;1,00%
RS;Instituto Federal do Rio Grande do Sul;1;1,00%
AM;Universidade do Estado do Amazonas;1;1,00%
PB;Universidade Estadual da Paraíba;1;1,00%
PR;Universidade Estadual do Oeste do Paraná;1;1,00%
CE;Universidade Estadual do Vale do Acaraú;1;1,00%
MS;Universidade Federal da Grande Dourados;1;1,00%
PB;Universidade Federal de Campina Grande;1;1,00%
RO;Universidade Federal de Rondônia;1;1,00%
RR;Universidade Federal de Roraima;1;1,00%
RS;Universidade Federal de Santa Maria;1;1,00%
SP;Universidade Federal de São Carlos;1;1,00%
SE;Universidade Federal de Sergipe;1;1,00%
SP;Universidade Federal do ABC;1;1,00%
AC;Universidade Federal do Acre;1;1,00%
AM;Universidade Federal do Amazonas;1;1,00%
CE;Universidade Federal do Ceará;1;1,00%
BA;Universidade Federal do Oeste da Bahia;1;1,00%
PR;Universidade Federal do Paraná;1;1,00%
BA;Universidade Federal do Sul da Bahia;1;1,00%
