,UF,Instituição de ensino,Respostas incompletas
0,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2
1,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1
2,ES,Faculdade de Música do Espírito Santo,1
3,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,1
4,RS,Instituto Federal do Rio Grande do Sul,1
5,DF,Universidade de Brasília,3
6,BA,Universidade do Estado da Bahia,2
7,MT,Universidade do Estado de Mato Grosso,2
8,AM,Universidade do Estado do Amazonas,1
9,RJ,Universidade do Estado do Rio de Janeiro,5
10,PB,Universidade Estadual da Paraíba,1
11,SP,Universidade Estadual de Campinas,7
12,GO,Universidade Estadual de Goiás,2
13,PR,Universidade Estadual de Londrina,2
14,PR,Universidade Estadual de Maringá,2
15,MS,Universidade Estadual de Mato Grosso do Sul,4
16,PR,Universidade Estadual do Oeste do Paraná,1
17,CE,Universidade Estadual do Vale do Acaraú,1
18,MS,Universidade Federal da Grande Dourados,1
19,PB,Universidade Federal de Campina Grande,1
20,MG,Universidade Federal de Juiz de Fora,2
21,RO,Universidade Federal de Rondônia,1
22,RR,Universidade Federal de Roraima,1
23,RS,Universidade Federal de Santa Maria,1
24,SP,Universidade Federal de São Carlos,1
25,SE,Universidade Federal de Sergipe,1
26,MG,Universidade Federal de Viçosa,3
27,SP,Universidade Federal do ABC,1
28,AC,Universidade Federal do Acre,1
29,AM,Universidade Federal do Amazonas,1
30,CE,Universidade Federal do Ceará,1
31,ES,Universidade Federal do Espírito Santo,31
32,MA,Universidade Federal do Maranhão,3
33,MT,Universidade Federal do Mato Grosso,2
34,BA,Universidade Federal do Oeste da Bahia,1
35,PR,Universidade Federal do Paraná,1
36,RS,Universidade Federal do Rio Grande do Sul,3
37,BA,Universidade Federal do Sul da Bahia,1
38,RJ,Universidade Federal Fluminense,2
