,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,93,28.70%
1,SP,Universidade Estadual de Campinas,23,7.10%
2,RJ,Universidade do Estado do Rio de Janeiro,10,3.09%
3,MS,Universidade Estadual de Mato Grosso do Sul,10,3.09%
4,BA,Universidade do Estado da Bahia,8,2.47%
5,PB,Universidade Estadual da Paraíba,8,2.47%
6,AM,Universidade Federal do Amazonas,8,2.47%
7,MA,Universidade Federal do Maranhão,7,2.16%
8,MT,Universidade Federal do Mato Grosso,7,2.16%
9,RJ,Universidade Federal do Rio de Janeiro,7,2.16%
10,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,1.85%
11,MT,Universidade do Estado de Mato Grosso,6,1.85%
12,PR,Universidade Estadual de Londrina,6,1.85%
13,PR,Universidade Estadual de Maringá,6,1.85%
14,RS,Universidade Federal de Pelotas,5,1.54%
15,SE,Universidade Federal de Sergipe,5,1.54%
16,RS,Universidade Federal do Rio Grande do Sul,5,1.54%
17,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,4,1.23%
18,SP,Universidade de São Paulo,4,1.23%
19,GO,Universidade Estadual de Goiás,4,1.23%
20,AL,Universidade Federal de Alagoas,4,1.23%
21,MG,Universidade Federal de Uberlândia,4,1.23%
22,MG,Universidade Federal de Viçosa,4,1.23%
23,PE,Universidade Federal Rural de Pernambuco,4,1.23%
24,CE,Universidade Estadual do Vale do Acaraú,4,1.23%
25,DF,Universidade de Brasília,3,0.93%
26,BA,Universidade Estadual de Feira de Santana,3,0.93%
27,PR,Universidade Estadual do Oeste do Paraná,3,0.93%
28,PB,Universidade Federal da Paraíba,3,0.93%
29,RO,Universidade Federal de Rondônia,3,0.93%
30,AC,Universidade Federal do Acre,3,0.93%
31,PA,Universidade Federal do Pará,3,0.93%
32,RJ,Universidade Federal Fluminense,3,0.93%
33,MS,Universidade Federal de Mato Grosso do Sul,3,0.93%
34,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,0.62%
35,AM,Universidade do Estado do Amazonas,2,0.62%
36,BA,Universidade Estadual do Sudoeste da Bahia,2,0.62%
37,PR,Universidade Federal da Integração Latino-Americana,2,0.62%
38,MG,Universidade Federal de Juiz de Fora,2,0.62%
39,MG,Universidade Federal de Ouro Preto,2,0.62%
40,RS,Universidade Federal de Rio Grande,2,0.62%
41,RS,Universidade Federal de Santa Maria,2,0.62%
42,AP,Universidade Federal do Amapá,2,0.62%
43,CE,Universidade Federal do Ceará,2,0.62%
44,PR,Universidade Tecnológica Federal do Paraná,2,0.62%
45,SP,Universidade Federal de São Carlos,2,0.62%
46,MS,Universidade Federal da Grande Dourados,2,0.62%
47,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,1,0.31%
48,ES,Faculdade de Música do Espírito Santo,1,0.31%
49,TO,Universidade de Guripi,1,0.31%
50,SC,Universidade do Estado de Santa Catarina,1,0.31%
51,BA,Universidade Estadual de Santa Cruz,1,0.31%
52,CE,Universidade Estadual do Ceará,1,0.31%
53,PR,Universidade Estadual do Centro-Oeste,1,0.31%
54,RJ,Universidade Estadual do Norte Fluminense,1,0.31%
55,PR,Universidade Estadual do Paraná,1,0.31%
56,PB,Universidade Federal de Campina Grande,1,0.31%
57,RR,Universidade Federal de Roraima,1,0.31%
58,SP,Universidade Federal do ABC,1,0.31%
59,BA,Universidade Federal do Oeste da Bahia,1,0.31%
60,PA,Universidade Federal do Oeste do Pará,1,0.31%
61,PR,Universidade Federal do Paraná,1,0.31%
62,BA,Universidade Federal do Sul da Bahia,1,0.31%
63,PI,Instituto Federal do Piauí,1,0.31%
64,RS,Instituto Federal do Rio Grande do Sul,1,0.31%
65,RJ,Universidade Federal Rural do Rio de Janeiro,1,0.31%
