,UF,Instituição de Ensino,Respostas Totais,Porcentagem
0,ES,Universidade Federal do Espírito Santo,73,"0,292"
1,SP,Universidade Estadual de Campinas,16,"0,064"
2,BA,Universidade do Estado da Bahia,8,"0,032"
3,PB,Universidade Estadual da Paraíba,8,"0,032"
4,MS,Universidade Estadual de Mato Grosso do Sul,7,"0,028"
5,MA,Universidade Federal do Maranhão,7,"0,028"
6,MT,Universidade Federal do Mato Grosso,7,"0,028"
7,MG,Centro Federal de Educação Tecnológica de Minas Gerais,6,"0,024"
8,MT,Universidade do Estado de Mato Grosso,6,"0,024"
9,PR,Universidade Estadual de Maringá,6,"0,024"
10,AM,Universidade Federal do Amazonas,5,"0,02"
11,GO,Universidade Estadual de Goiás,4,"0,016"
12,PR,Universidade Estadual de Londrina,4,"0,016"
13,CE,Universidade Estadual do Vale do Acaraú,4,"0,016"
14,RS,Universidade Federal de Pelotas,4,"0,016"
15,MG,Universidade Federal de Uberlândia,4,"0,016"
16,RS,Universidade Federal do Rio Grande do Sul,4,"0,016"
17,PE,Universidade Federal Rural de Pernambuco,4,"0,016"
18,DF,Universidade de Brasília,3,"0,012"
19,SP,Universidade de São Paulo,3,"0,012"
20,BA,Universidade Estadual de Feira de Santana,3,"0,012"
21,PR,Universidade Estadual do Oeste do Paraná,3,"0,012"
22,PB,Universidade Federal da Paraíba,3,"0,012"
23,MS,Universidade Federal de Mato Grosso do Sul,3,"0,012"
24,RO,Universidade Federal de Rondônia,3,"0,012"
25,SE,Universidade Federal de Sergipe,3,"0,012"
26,MG,Universidade Federal de Viçosa,3,"0,012"
27,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,2,"0,008"
28,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,2,"0,008"
29,RJ,Universidade do Estado do Rio de Janeiro,2,"0,008"
30,BA,Universidade Estadual do Sudoeste da Bahia,2,"0,008"
31,PR,Universidade Federal da Integração Latino-Americana,2,"0,008"
