,UF,Instituição de Ensino,Respostas Incompletas,Porcentagem
0,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,21,0.93%
1,MG,Centro Federal de Educação Tecnológica de Minas Gerais,40,1.77%
2,SP,Faculdade de Medicina de Jundiaí,1,0.04%
3,ES,Faculdade de Música do Espírito Santo,1,0.04%
4,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,1,0.04%
5,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,0.89%
6,MG,Instituto Federal de Minas Gerais,1,0.04%
7,GO,Instituto Federal de Goiás,2,0.09%
8,RO,Instituto Federal de Rondônia,1,0.04%
9,CE,Instituto Federal do Ceará,1,0.04%
10,PA,Instituto Federal do Pará,1,0.04%
11,PR,Instituto Federal do Paraná,3,0.13%
12,PI,Instituto Federal do Piauí,23,1.02%
13,RS,Instituto Federal do Rio Grande do Sul,14,0.62%
14,MG,Instituto Federal do Sudeste Mineiro,1,0.04%
15,RJ,Instituto Federal Fluminense,1,0.04%
16,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,2,0.09%
17,DF,Universidade de Brasília,35,1.55%
18,TO,Universidade de Guripi,2,0.09%
19,PE,Universidade de Pernambuco,13,0.58%
20,RS,Universidade de Santa Cruz do Sul,1,0.04%
21,SP,Universidade de São Paulo,23,1.02%
22,DF,Universidade do Distrito Federal,10,0.44%
23,BA,Universidade do Estado da Bahia,55,2.44%
24,MT,Universidade do Estado de Mato Grosso,37,1.64%
25,MG,Universidade do Estado de Minas Gerais,3,0.13%
26,SC,Universidade do Estado de Santa Catarina,20,0.89%
27,AM,Universidade do Estado do Amazonas,8,0.35%
28,PA,Universidade do Estado do Pará,25,1.11%
29,RJ,Universidade do Estado do Rio de Janeiro,67,2.97%
30,RJ,Universidade do Rio de Janeiro,2,0.09%
31,PB,Universidade Estadual da Paraíba,16,0.71%
32,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.04%
33,SP,Universidade Estadual de Campinas,117,5.19%
34,BA,Universidade Estadual de Feira de Santana,39,1.73%
35,GO,Universidade Estadual de Goiás,17,0.75%
36,PR,Universidade Estadual de Londrina,64,2.84%
37,PR,Universidade Estadual de Maringá,36,1.60%
38,MS,Universidade Estadual de Mato Grosso do Sul,9,0.40%
39,MG,Universidade Estadual de Montes Claros,1,0.04%
40,PR,Universidade Estadual de Ponta Grossa,21,0.93%
41,RR,Universidade Estadual de Roraima,5,0.22%
42,BA,Universidade Estadual de Santa Cruz,53,2.35%
43,CE,Universidade Estadual do Ceará,46,2.04%
44,PR,Universidade Estadual do Centro-Oeste,5,0.22%
45,MA,Universidade Estadual do Maranhão,1,0.04%
46,PR,Universidade Estadual do Norte do Paraná,9,0.40%
47,RJ,Universidade Estadual do Norte Fluminense,47,2.08%
48,PR,Universidade Estadual do Oeste do Paraná,45,2.00%
49,PR,Universidade Estadual do Paraná,33,1.46%
