,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,178,5.72%
1,SP,Universidade Estadual de Campinas,153,4.91%
2,RJ,Universidade do Estado do Rio de Janeiro,152,4.88%
3,DF,Universidade de Brasília,101,3.24%
4,RJ,Universidade Federal Fluminense,83,2.67%
5,MA,Universidade Federal do Maranhão,80,2.57%
6,AM,Universidade Federal do Amazonas,70,2.25%
7,PR,Universidade Estadual de Londrina,66,2.12%
8,BA,Universidade Estadual de Santa Cruz,65,2.09%
9,PE,Universidade Federal do Vale do São Francisco,61,1.96%
10,BA,Universidade Federal do Sul da Bahia,60,1.93%
11,BA,Universidade Estadual de Feira de Santana,59,1.89%
12,SP,Universidade Federal do ABC,59,1.89%
13,BA,Universidade do Estado da Bahia,57,1.83%
14,RJ,Universidade Estadual do Norte Fluminense,54,1.73%
15,PR,Universidade Estadual de Ponta Grossa,53,1.70%
16,MS,Universidade Federal da Grande Dourados,51,1.64%
17,RS,Universidade Federal do Rio Grande do Sul,51,1.64%
18,RJ,Universidade Federal do Rio de Janeiro,49,1.57%
19,CE,Universidade Estadual do Ceará,48,1.54%
20,AC,Universidade Federal do Acre,48,1.54%
21,PR,Universidade Estadual de Maringá,45,1.45%
22,PR,Universidade Estadual do Oeste do Paraná,45,1.45%
23,PI,Universidade Federal do Piauí,45,1.45%
24,MG,Universidade Federal de Lavras,42,1.35%
25,MG,Centro Federal de Educação Tecnológica de Minas Gerais,41,1.32%
26,RS,Universidade Federal de Santa Maria,41,1.32%
27,PE,Universidade Federal Rural de Pernambuco,41,1.32%
28,RS,Universidade Federal de Pelotas,40,1.28%
29,MT,Universidade do Estado de Mato Grosso,38,1.22%
30,PR,Universidade Tecnológica Federal do Paraná,37,1.19%
31,PR,Universidade Estadual do Paraná,34,1.09%
32,MS,Universidade Federal de Mato Grosso do Sul,34,1.09%
33,MG,Universidade Federal de Viçosa,31,1.00%
34,PR,Universidade Federal da Integração Latino-Americana,29,0.93%
35,MT,Universidade Federal do Mato Grosso,29,0.93%
36,MG,Universidade Federal de São João del-Rei,29,0.93%
37,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,28,0.90%
38,SP,Universidade de São Paulo,28,0.90%
39,BA,Universidade Estadual do Sudoeste da Bahia,28,0.90%
40,RO,Universidade Federal de Rondônia,28,0.90%
41,PI,Instituto Federal do Piauí,26,0.83%
42,PA,Universidade do Estado do Pará,26,0.83%
43,MG,Universidade Federal de Juiz de Fora,26,0.83%
44,SE,Universidade Federal de Sergipe,26,0.83%
45,RJ,Universidade Federal Rural do Rio de Janeiro,26,0.83%
46,CE,Universidade Estadual do Vale do Acaraú,25,0.80%
47,GO,Universidade Federal de Goiás,25,0.80%
48,CE,Universidade Federal do Ceará,25,0.80%
49,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,25,0.80%
50,AL,Universidade Federal de Alagoas,24,0.77%
51,GO,Universidade Estadual de Goiás,23,0.74%
52,MG,Universidade Federal de Uberlândia,23,0.74%
53,RS,Instituto Federal do Rio Grande do Sul,22,0.71%
54,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,20,0.64%
55,SC,Universidade do Estado de Santa Catarina,20,0.64%
56,PR,Universidade Federal do Paraná,19,0.61%
57,MT,Universidade Federal de Rondonópolis,18,0.58%
58,AP,Universidade Federal do Amapá,18,0.58%
59,PA,Universidade Federal do Pará,18,0.58%
60,PB,Universidade Estadual da Paraíba,16,0.51%
61,SP,Universidade Federal de São Carlos,16,0.51%
62,DF,Universidade do Distrito Federal,15,0.48%
63,PB,Universidade Federal de Campina Grande,15,0.48%
64,MG,Universidade Federal de Ouro Preto,15,0.48%
65,PA,Universidade Federal do Oeste do Pará,15,0.48%
66,PA,Universidade Federal Rural da Amazônia,15,0.48%
67,PI,Universidade Estadual do Piauí,14,0.45%
68,CE,Universidade Regional do Cariri,14,0.45%
69,PE,Universidade de Pernambuco,13,0.42%
70,RS,Universidade Federal de Rio Grande,12,0.39%
71,PR,Universidade Estadual do Centro-Oeste,11,0.35%
72,RR,Universidade Federal de Roraima,11,0.35%
73,BA,Universidade Federal do Oeste da Bahia,11,0.35%
74,PR,Universidade Estadual do Norte do Paraná,10,0.32%
75,BA,Universidade Federal da Bahia,10,0.32%
76,PE,Universidade Federal de Pernambuco,10,0.32%
77,MS,Universidade Estadual de Mato Grosso do Sul,9,0.29%
78,PB,Universidade Federal da Paraíba,9,0.29%
79,BA,Universidade Federal do Recôncavo da Bahia,9,0.29%
80,AM,Universidade do Estado do Amazonas,8,0.26%
81,SP,Universidade Estadual Paulista,8,0.26%
82,RN,Universidade Federal do Rio Grande do Norte,8,0.26%
83,RJ,Universidade Federal do Estado do Rio de Janeiro,6,0.19%
84,MG,Universidade do Estado de Minas Gerais,5,0.16%
85,RR,Universidade Estadual de Roraima,5,0.16%
86,SC,Universidade Federal da Fronteira Sul,5,0.16%
87,SP,Universidade Federal de São Paulo,5,0.16%
88,RN,Universidade Federal Rural do Semi-Árido,5,0.16%
89,GO,Universidade Federal de Catalão,4,0.13%
90,PI,Universidade Federal do Delta do Parnaíba,4,0.13%
91,PR,Instituto Federal do Paraná,3,0.10%
92,SP,Secretaria Municipal de Educação de São Paulo,3,0.10%
93,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,3,0.10%
94,TO,Universidade Federal do Tocantins,3,0.10%
95,GO,Instituto Federal de Goiás,2,0.06%
96,MG,Instituto Federal do Sudeste Mineiro,2,0.06%
97,TO,Universidade de Guripi,2,0.06%
98,MA,Universidade Estadual do Maranhão,2,0.06%
99,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.06%
100,MG,Universidade Federal do Triângulo Mineiro,2,0.06%
101,PE,Universidade Federal do Agreste de Pernambuco,2,0.06%
102,ES,Associação Brasileira de Odontologia,1,0.03%
103,RJ,Colégio Pedro II,1,0.03%
104,SP,Faculdade de Medicina de Jundiaí,1,0.03%
105,ES,Faculdade de Música do Espírito Santo,1,0.03%
106,SP,Faculdade de Tecnologia Sebrae,1,0.03%
107,AL,Instituto Federal de Alagoas,1,0.03%
108,PE,Instituto Federal de Pernambuco,1,0.03%
109,RO,Instituto Federal de Rondônia,1,0.03%
110,RR,Instituto Federal de Roraima,1,0.03%
111,CE,Instituto Federal do Ceará,1,0.03%
112,MA,Instituto Federal do Maranhão,1,0.03%
113,RS,Instituto Federal Farroupilha,1,0.03%
114,RJ,Instituto Federal Fluminense,1,0.03%
115,PA,Instituto Federal do Pará,1,0.03%
116,SP,Secretaria da Educação de Diadema,1,0.03%
117,MT,Secretaria de Educação de Mato Grosso,1,0.03%
118,RJ,Secretaria de Educação do Rio de Janeiro,1,0.03%
119,BA,Secretaria Municipal de Educação de Salvador,1,0.03%
120,RS,Universidade de Santa Cruz do Sul,1,0.03%
121,AP,Universidade Estado do Amapá,1,0.03%
122,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.03%
123,MG,Universidade Estadual de Montes Claros,1,0.03%
124,MG,Universidade Federal de Alfenas,1,0.03%
125,MG,Universidade Federal de Itajubá,1,0.03%
126,MG,Universidade Federal de Minas Gerais,1,0.03%
127,SC,Universidade Federal de Santa Catarina,1,0.03%
128,TO,Universidade Federal do Norte de Tocantins,1,0.03%
129,RS,Universidade Federal do Pampa,1,0.03%
130,MG,Instituto Federal do Sul de Minas Gerais,1,0.03%
