,UF,Instituição de Ensino,Respostas Incompletas,Porcentagem
0,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6,0.63%
1,BA,Centro Estadual de Educação Profissional em Biotecnologia e Saúde,1,0.10%
2,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,6,0.63%
3,MG,Centro Federal de Educação Tecnológica de Minas Gerais,22,2.30%
4,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,2,0.21%
5,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,5,0.52%
6,PI,Instituto Federal do Piauí,19,1.99%
7,RS,Instituto Federal do Rio Grande do Sul,15,1.57%
8,GO,Instituto Federal de Goiás,1,0.10%
9,MT,Instituto Federal de Mato Grosso,1,0.10%
10,SP,Instituto Federal de São Paulo,1,0.10%
11,MA,Instituto Federal do Maranhão,1,0.10%
12,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,1,0.10%
13,DF,Universidade de Brasília,16,1.67%
14,TO,Universidade de Guripi,2,0.21%
15,PE,Universidade de Pernambuco,5,0.52%
16,SP,Universidade de São Paulo,11,1.15%
17,DF,Universidade do Distrito Federal,11,1.15%
18,BA,Universidade do Estado da Bahia,33,3.45%
19,MT,Universidade do Estado de Mato Grosso,15,1.57%
20,MG,Universidade do Estado de Minas Gerais,2,0.21%
21,SC,Universidade do Estado de Santa Catarina,9,0.94%
22,PA,Universidade do Estado do Pará,13,1.36%
23,RJ,Universidade do Estado do Rio de Janeiro,26,2.72%
24,RJ,Universidade do Rio de Janeiro,1,0.10%
25,AP,Universidade Estado do Amapá,2,0.21%
26,PB,Universidade Estadual da Paraíba,5,0.52%
27,SP,Universidade Estadual de Campinas,52,5.43%
28,BA,Universidade Estadual de Feira de Santana,17,1.78%
29,GO,Universidade Estadual de Goiás,7,0.73%
30,PR,Universidade Estadual de Londrina,26,2.72%
31,PR,Universidade Estadual de Maringá,7,0.73%
32,MS,Universidade Estadual de Mato Grosso do Sul,9,0.94%
33,MG,Universidade Estadual de Montes Claros,1,0.10%
34,PR,Universidade Estadual de Ponta Grossa,4,0.42%
35,BA,Universidade Estadual de Santa Cruz,16,1.67%
36,CE,Universidade Estadual do Ceará,15,1.57%
37,PR,Universidade Estadual do Centro-Oeste,2,0.21%
38,MA,Universidade Estadual do Maranhão,3,0.31%
39,PR,Universidade Estadual do Norte do Paraná,4,0.42%
40,RJ,Universidade Estadual do Norte Fluminense,12,1.25%
41,PR,Universidade Estadual do Oeste do Paraná,13,1.36%
42,PR,Universidade Estadual do Paraná,19,1.99%
43,PI,Universidade Estadual do Piauí,1,0.10%
44,BA,Universidade Estadual do Sudoeste da Bahia,12,1.25%
45,SP,Universidade Estadual Paulista,1,0.10%
46,CE,Universidade Estadual do Vale do Acaraú,9,0.94%
47,BA,Universidade Federal da Bahia,1,0.10%
48,SC,Universidade Federal da Fronteira Sul,4,0.42%
49,PR,Universidade Federal da Integração Latino-Americana,12,1.25%
50,PB,Universidade Federal da Paraíba,1,0.10%
51,MS,Universidade Federal de Mato Grosso do Sul,10,1.04%
52,AL,Universidade Federal de Alagoas,7,0.73%
53,MG,Universidade Federal de Alfenas,1,0.10%
54,PB,Universidade Federal de Campina Grande,5,0.52%
55,MS,Universidade Federal de Dourados,18,1.88%
56,MG,Universidade Federal de Juiz de Fora,5,0.52%
57,MG,Universidade Federal de Lavras,7,0.73%
58,MG,Universidade Federal de Minas Gerais,1,0.10%
59,MG,Universidade Federal de Ouro Preto,15,1.57%
60,RS,Universidade Federal de Pelotas,20,2.09%
61,PE,Universidade Federal de Pernambuco,3,0.31%
62,RS,Universidade Federal de Rio Grande,1,0.10%
63,RO,Universidade Federal de Rondônia,15,1.57%
64,MT,Universidade Federal de Rondonópolis,6,0.63%
65,RS,Universidade Federal de Santa Maria,9,0.94%
66,SP,Universidade Federal de São Carlos,4,0.42%
67,MG,Universidade Federal de São João del-Rei,11,1.15%
68,SP,Universidade Federal de São Paulo,4,0.42%
69,SE,Universidade Federal de Sergipe,7,0.73%
70,MG,Universidade Federal de Uberlândia,10,1.04%
71,MG,Universidade Federal de Viçosa,9,0.94%
72,SP,Universidade Federal do ABC,30,3.13%
73,AC,Universidade Federal do Acre,12,1.25%
74,AP,Universidade Federal do Amapá,2,0.21%
75,AM,Universidade Federal do Amazonas,13,1.36%
76,CE,Universidade Federal do Ceará,6,0.63%
77,PI,Universidade Federal do Delta do Parnaíba,1,0.10%
78,ES,Universidade Federal do Espírito Santo,38,3.97%
79,RJ,Universidade Federal do Estado do Rio de Janeiro,1,0.10%
80,MA,Universidade Federal do Maranhão,32,3.34%
81,MT,Universidade Federal do Mato Grosso,17,1.78%
82,PA,Universidade Federal do Oeste do Pará,2,0.21%
83,PA,Universidade Federal do Pará,3,0.31%
84,PR,Universidade Federal do Paraná,9,0.94%
85,PI,Universidade Federal do Piauí,10,1.04%
86,BA,Universidade Federal do Recôncavo da Bahia,3,0.31%
87,RJ,Universidade Federal do Rio de Janeiro,13,1.36%
88,RS,Universidade Federal do Rio Grande do Sul,18,1.88%
89,BA,Universidade Federal do Sul da Bahia,18,1.88%
90,PA,Universidade Federal do Sul e Sudeste do Pará,2,0.21%
91,MG,Universidade Federal do Triângulo Mineiro,1,0.10%
92,PE,Universidade Federal do Vale do São Francisco,21,2.19%
93,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,4,0.42%
94,RJ,Universidade Federal Fluminense,1,0.10%
95,PA,Universidade Federal Rural da Amazônia,8,0.84%
96,PE,Universidade Federal Rural de Pernambuco,20,2.09%
97,RJ,Universidade Federal Rural do Rio de Janeiro,8,0.84%
98,RN,Universidade Federal Rural do Semi-Árido,2,0.21%
99,CE,Universidade Regional do Cariri,5,0.52%
100,PR,Universidade Tecnológica Federal do Paraná,9,0.94%
