,UF,Instituição de ensino,Contagem,Porcentagem
0,SP,Universidade Estadual de Campinas,69,5.48%
1,RJ,Universidade do Estado do Rio de Janeiro,61,4.85%
2,ES,Universidade Federal do Espírito Santo,59,4.69%
3,BA,Universidade do Estado da Bahia,35,2.78%
4,MA,Universidade Federal do Maranhão,34,2.70%
5,DF,Universidade de Brasília,32,2.54%
6,SP,Universidade Federal do ABC,30,2.38%
7,RJ,Universidade Federal Fluminense,29,2.30%
8,BA,Universidade Estadual de Feira de Santana,26,2.07%
9,PR,Universidade Estadual de Londrina,26,2.07%
10,PI,Instituto Federal do Piauí,25,1.99%
11,AM,Universidade Federal do Amazonas,24,1.91%
12,BA,Universidade Federal do Sul da Bahia,24,1.91%
13,MG,Centro Federal de Educação Tecnológica de Minas Gerais,23,1.83%
14,PE,Universidade Federal do Vale do São Francisco,21,1.67%
15,RS,Instituto Federal do Rio Grande do Sul,20,1.59%
16,PR,Universidade Estadual do Paraná,20,1.59%
17,RS,Universidade Federal de Pelotas,20,1.59%
18,PE,Universidade Federal Rural de Pernambuco,20,1.59%
19,MS,Universidade Federal da Grande Dourados,20,1.59%
20,RJ,Universidade Federal do Rio de Janeiro,19,1.51%
21,RS,Universidade Federal do Rio Grande do Sul,19,1.51%
22,DF,Universidade do Distrito Federal,18,1.43%
23,BA,Universidade Estadual de Santa Cruz,18,1.43%
24,RO,Universidade Federal de Rondônia,18,1.43%
25,MT,Universidade Federal do Mato Grosso,17,1.35%
26,PR,Universidade Estadual de Maringá,16,1.27%
27,AC,Universidade Federal do Acre,16,1.27%
28,SP,Universidade de São Paulo,15,1.19%
29,MT,Universidade do Estado de Mato Grosso,15,1.19%
30,CE,Universidade Estadual do Ceará,15,1.19%
31,MG,Universidade Federal de Ouro Preto,15,1.19%
32,PR,Universidade Estadual de Ponta Grossa,14,1.11%
33,BA,Universidade Estadual do Sudoeste da Bahia,14,1.11%
34,RS,Universidade Federal de Santa Maria,14,1.11%
35,MS,Universidade Federal de Mato Grosso do Sul,14,1.11%
36,PA,Universidade do Estado do Pará,13,1.03%
37,RJ,Universidade Estadual do Norte Fluminense,13,1.03%
38,PR,Universidade Estadual do Oeste do Paraná,13,1.03%
39,PI,Universidade Federal do Piauí,13,1.03%
40,RJ,Universidade Federal Rural do Rio de Janeiro,13,1.03%
41,MS,Universidade Estadual de Mato Grosso do Sul,12,0.95%
42,PR,Universidade Federal da Integração Latino-Americana,12,0.95%
43,MG,Universidade Federal de Juiz de Fora,12,0.95%
44,PA,Universidade Federal do Pará,12,0.95%
45,PR,Universidade Federal do Paraná,12,0.95%
46,PB,Universidade Federal de Campina Grande,11,0.87%
47,MG,Universidade Federal de São João del-Rei,11,0.87%
48,SE,Universidade Federal de Sergipe,11,0.87%
49,MG,Universidade Federal de Uberlândia,11,0.87%
50,MG,Universidade Federal de Viçosa,10,0.79%
51,PA,Universidade Federal Rural da Amazônia,10,0.79%
52,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,9,0.71%
53,SC,Universidade do Estado de Santa Catarina,9,0.71%
54,CE,Universidade Estadual do Vale do Acaraú,9,0.71%
55,PR,Universidade Tecnológica Federal do Paraná,9,0.71%
56,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,8,0.64%
57,GO,Universidade Estadual de Goiás,7,0.56%
58,AL,Universidade Federal de Alagoas,7,0.56%
59,MG,Universidade Federal de Lavras,7,0.56%
60,MT,Universidade Federal de Rondonópolis,7,0.56%
61,CE,Universidade Federal do Ceará,7,0.56%
62,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,6,0.48%
63,SP,Universidade Federal de São Paulo,6,0.48%
64,PE,Universidade de Pernambuco,5,0.40%
65,PB,Universidade Estadual da Paraíba,5,0.40%
66,BA,Universidade Federal do Recôncavo da Bahia,5,0.40%
67,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,5,0.40%
68,CE,Universidade Regional do Cariri,5,0.40%
69,PR,Universidade Estadual do Norte do Paraná,4,0.32%
70,SC,Universidade Federal da Fronteira Sul,4,0.32%
71,MG,Universidade Federal de Minas Gerais,4,0.32%
72,SP,Universidade Federal de São Carlos,4,0.32%
73,PR,Universidade Estadual do Centro-Oeste,3,0.24%
74,MA,Universidade Estadual do Maranhão,3,0.24%
75,PI,Universidade Estadual do Piauí,3,0.24%
76,GO,Universidade Federal de Goiás,3,0.24%
77,PE,Universidade Federal de Pernambuco,3,0.24%
