,UF,Instituição de Ensino,Respostas Incompletas,Porcentagem
0,PE,Autarquia de Ensino Superior de Arco Verde Universidade Federal,6,0.19%
1,BA,Centro Estadual de Educação Profissional em Biotecnologia e Saúde,1,0.03%
2,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,27,0.84%
3,MG,Centro Federal de Educação Tecnológica de Minas Gerais,62,1.94%
4,SP,Faculdade de Medicina de Jundiaí,1,0.03%
5,ES,Faculdade de Música do Espírito Santo,1,0.03%
6,RJ,Fundação Centro de Ciências e Educação Superior a Distância do Estado do Rio de Janeiro,3,0.09%
7,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,25,0.78%
8,GO,Instituto Federal de Goiás,3,0.09%
9,MT,Instituto Federal de Mato Grosso,1,0.03%
10,MG,Instituto Federal de Minas Gerais,1,0.03%
11,RO,Instituto Federal de Rondônia,1,0.03%
12,SP,Instituto Federal de São Paulo,1,0.03%
13,CE,Instituto Federal do Ceará,1,0.03%
14,MA,Instituto Federal do Maranhão,1,0.03%
15,PA,Instituto Federal do Pará,1,0.03%
16,PR,Instituto Federal do Paraná,3,0.09%
17,PI,Instituto Federal do Piauí,42,1.31%
18,RS,Instituto Federal do Rio Grande do Sul,29,0.91%
19,MG,Instituto Federal do Sudeste Mineiro,1,0.03%
20,RJ,Instituto Federal Fluminense,1,0.03%
21,SP,Rede Municipal de Diadema,1,0.03%
22,RJ,Secretaria de Estado de Educação do Rio de Janeiro,1,0.03%
23,CE,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,3,0.09%
24,DF,Universidade de Brasília,51,1.59%
25,TO,Universidade de Guripi,4,0.13%
26,PE,Universidade de Pernambuco,18,0.56%
27,RS,Universidade de Santa Cruz do Sul,1,0.03%
28,SP,Universidade de São Paulo,34,1.06%
29,DF,Universidade do Distrito Federal,21,0.66%
30,BA,Universidade do Estado da Bahia,88,2.75%
31,MT,Universidade do Estado de Mato Grosso,52,1.63%
32,MG,Universidade do Estado de Minas Gerais,5,0.16%
33,SC,Universidade do Estado de Santa Catarina,29,0.91%
34,AM,Universidade do Estado do Amazonas,8,0.25%
35,PA,Universidade do Estado do Pará,38,1.19%
36,RJ,Universidade do Estado do Rio de Janeiro,96,3.00%
37,AP,Universidade Estado do Amapá,2,0.06%
38,PB,Universidade Estadual da Paraíba,21,0.66%
39,MA,Universidade Estadual da Região Tocantina do Maranhão,1,0.03%
40,SP,Universidade Estadual de Campinas,169,5.28%
41,BA,Universidade Estadual de Feira de Santana,56,1.75%
42,GO,Universidade Estadual de Goiás,24,0.75%
43,PR,Universidade Estadual de Londrina,90,2.81%
44,PR,Universidade Estadual de Maringá,43,1.34%
45,MS,Universidade Estadual de Mato Grosso do Sul,18,0.56%
46,MG,Universidade Estadual de Montes Claros,2,0.06%
47,PR,Universidade Estadual de Ponta Grossa,25,0.78%
48,RR,Universidade Estadual de Roraima,5,0.16%
49,BA,Universidade Estadual de Santa Cruz,69,2.16%
50,CE,Universidade Estadual do Ceará,61,1.91%
51,PR,Universidade Estadual do Centro-Oeste,7,0.22%
52,MA,Universidade Estadual do Maranhão,4,0.13%
53,PR,Universidade Estadual do Norte do Paraná,13,0.41%
54,RJ,Universidade Estadual do Norte Fluminense,59,1.84%
55,PR,Universidade Estadual do Oeste do Paraná,58,1.81%
56,PR,Universidade Estadual do Paraná,52,1.63%
57,PI,Universidade Estadual do Piauí,12,0.38%
58,BA,Universidade Estadual do Sudoeste da Bahia,34,1.06%
59,CE,Universidade Estadual do Vale do Acaraú,33,1.03%
60,SP,Universidade Estadual Paulista,1,0.03%
61,BA,Universidade Federal da Bahia,7,0.22%
62,SC,Universidade Federal da Fronteira Sul,9,0.28%
63,MS,Universidade Federal da Grande Dourados,28,0.88%
64,PR,Universidade Federal da Integração Latino-Americana,40,1.25%
65,PB,Universidade Federal da Paraíba,10,0.31%
66,MS,Universidade Federal de Mato Grosso do Sul,39,1.22%
67,AL,Universidade Federal de Alagoas,31,0.97%
68,MG,Universidade Federal de Alfenas,1,0.03%
69,PB,Universidade Federal de Campina Grande,7,0.22%
70,GO,Universidade Federal de Catalão,3,0.09%
71,GO,Universidade Federal de Goiás,10,0.31%
72,MG,Universidade Federal de Itajubá,1,0.03%
73,MG,Universidade Federal de Juiz de Fora,8,0.25%
74,MG,Universidade Federal de Lavras,45,1.41%
75,MS,Universidade Federal de Mato Grosso do Sul,1,0.03%
76,MG,Universidade Federal de Minas Gerais,1,0.03%
77,MG,Universidade Federal de Ouro Preto,26,0.81%
78,RS,Universidade Federal de Pelotas,56,1.75%
79,PE,Universidade Federal de Pernambuco,8,0.25%
80,RS,Universidade Federal de Rio Grande,10,0.31%
81,RO,Universidade Federal de Rondônia,42,1.31%
82,MT,Universidade Federal de Rondonópolis,22,0.69%
83,RR,Universidade Federal de Roraima,10,0.31%
84,RS,Universidade Federal de Santa Maria,34,1.06%
85,SP,Universidade Federal de São Carlos,15,0.47%
86,MG,Universidade Federal de São João del-Rei,39,1.22%
87,SP,Universidade Federal de São Paulo,9,0.28%
88,SE,Universidade Federal de Sergipe,22,0.69%
89,MG,Universidade Federal de Uberlândia,31,0.97%
90,MG,Universidade Federal de Viçosa,37,1.16%
91,SP,Universidade Federal do ABC,89,2.78%
92,AC,Universidade Federal do Acre,47,1.47%
93,AP,Universidade Federal do Amapá,12,0.38%
94,AM,Universidade Federal do Amazonas,46,1.44%
95,CE,Universidade Federal do Ceará,27,0.84%
96,PI,Universidade Federal do Delta do Parnaíba,3,0.09%
97,ES,Universidade Federal do Espírito Santo,144,4.50%
98,RJ,Universidade Federal do Estado do Rio de Janeiro,3,0.09%
99,MA,Universidade Federal do Maranhão,100,3.13%
100,MT,Universidade Federal do Mato Grosso,44,1.38%
101,TO,Universidade Federal do Norte de Tocantins,1,0.03%
102,BA,Universidade Federal do Oeste da Bahia,5,0.16%
103,PA,Universidade Federal do Oeste do Pará,15,0.47%
104,RS,Universidade Federal do Pampa,1,0.03%
105,PA,Universidade Federal do Pará,11,0.34%
106,PR,Universidade Federal do Paraná,25,0.78%
107,PI,Universidade Federal do Piauí,40,1.25%
108,BA,Universidade Federal do Recôncavo da Bahia,10,0.31%
109,RJ,Universidade Federal do Rio de Janeiro,46,1.44%
110,RN,Universidade Federal do Rio Grande do Norte,5,0.16%
111,RS,Universidade Federal do Rio Grande do Sul,66,2.06%
112,BA,Universidade Federal do Sul da Bahia,53,1.66%
113,PA,Universidade Federal do Sul e Sudeste do Pará,4,0.13%
114,TO,Universidade Federal do Tocantins,2,0.06%
115,MG,Universidade Federal do Triângulo Mineiro,2,0.06%
116,PE,Universidade Federal do Vale do São Francisco,82,2.56%
117,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,12,0.38%
118,RJ,Universidade Federal Fluminense,12,0.38%
