,UF,Instituição de ensino,Contagem,Porcentagem
0,ES,Universidade Federal do Espírito Santo,235,5.43%
1,SP,Universidade Estadual de Campinas,214,4.95%
2,RJ,Universidade do Estado do Rio de Janeiro,207,4.79%
3,DF,Universidade de Brasília,116,2.68%
4,MA,Universidade Federal do Maranhão,114,2.64%
5,RJ,Universidade Federal Fluminense,112,2.59%
6,AM,Universidade Federal do Amazonas,94,2.17%
7,BA,Universidade do Estado da Bahia,92,2.13%
8,PR,Universidade Estadual de Londrina,92,2.13%
9,SP,Universidade Federal do ABC,89,2.06%
10,BA,Universidade Federal do Sul da Bahia,84,1.94%
11,BA,Universidade Estadual de Santa Cruz,83,1.92%
12,PE,Universidade Federal do Vale do São Francisco,82,1.90%
13,BA,Universidade Estadual de Feira de Santana,78,1.80%
14,MS,Universidade Federal da Grande Dourados,71,1.64%
15,RS,Universidade Federal do Rio Grande do Sul,70,1.62%
16,RJ,Universidade Federal do Rio de Janeiro,68,1.57%
17,PR,Universidade Estadual de Ponta Grossa,67,1.55%
18,RJ,Universidade Estadual do Norte Fluminense,67,1.55%
19,MG,Centro Federal de Educação Tecnológica de Minas Gerais,64,1.48%
20,CE,Universidade Estadual do Ceará,63,1.46%
21,AC,Universidade Federal do Acre,63,1.46%
22,PR,Universidade Estadual de Maringá,61,1.41%
23,PE,Universidade Federal Rural de Pernambuco,61,1.41%
24,RS,Universidade Federal de Pelotas,60,1.39%
25,PR,Universidade Estadual do Oeste do Paraná,58,1.34%
26,PI,Universidade Federal do Piauí,58,1.34%
27,RS,Universidade Federal de Santa Maria,55,1.27%
28,PR,Universidade Estadual do Paraná,54,1.25%
29,MT,Universidade do Estado de Mato Grosso,53,1.23%
30,PI,Instituto Federal do Piauí,50,1.16%
31,MG,Universidade Federal de Lavras,49,1.13%
32,MS,Universidade Federal de Mato Grosso do Sul,48,1.11%
33,RO,Universidade Federal de Rondônia,46,1.06%
34,MT,Universidade Federal do Mato Grosso,46,1.06%
35,PR,Universidade Tecnológica Federal do Paraná,46,1.06%
36,SP,Universidade de São Paulo,43,0.99%
37,BA,Universidade Estadual do Sudoeste da Bahia,41,0.95%
38,PR,Universidade Federal da Integração Latino-Americana,41,0.95%
39,MG,Universidade Federal de São João del-Rei,40,0.92%
40,RS,Instituto Federal do Rio Grande do Sul,39,0.90%
41,PA,Universidade do Estado do Pará,39,0.90%
42,RJ,Universidade Federal Rural do Rio de Janeiro,39,0.90%
43,MG,Universidade Federal de Juiz de Fora,38,0.88%
44,MG,Universidade Federal de Viçosa,38,0.88%
45,RJ,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,37,0.86%
46,SE,Universidade Federal de Sergipe,37,0.86%
47,CE,Universidade Estadual do Vale do Acaraú,34,0.79%
48,MG,Universidade Federal de Uberlândia,34,0.79%
49,DF,Universidade do Distrito Federal,33,0.76%
50,CE,Universidade Federal do Ceará,32,0.74%
51,AL,Universidade Federal de Alagoas,31,0.72%
52,PR,Universidade Federal do Paraná,31,0.72%
53,GO,Universidade Estadual de Goiás,30,0.69%
54,MG,Universidade Federal de Ouro Preto,30,0.69%
55,PA,Universidade Federal do Pará,30,0.69%
56,MG,Universidade Federal dos Vales do Jequitinhonha e Mucuri,30,0.69%
57,SC,Universidade do Estado de Santa Catarina,29,0.67%
58,GO,Universidade Federal de Goiás,28,0.65%
59,RJ,Fundação de Apoio à Escola Técnica do Estado do Rio de Janeiro,26,0.60%
60,PB,Universidade Federal de Campina Grande,26,0.60%
61,MT,Universidade Federal de Rondonópolis,25,0.58%
62,PA,Universidade Federal Rural da Amazônia,25,0.58%
63,PB,Universidade Estadual da Paraíba,21,0.49%
64,MS,Universidade Estadual de Mato Grosso do Sul,21,0.49%
65,AP,Universidade Federal do Amapá,20,0.46%
66,SP,Universidade Federal de São Carlos,20,0.46%
67,CE,Universidade Regional do Cariri,19,0.44%
68,PE,Universidade de Pernambuco,18,0.42%
69,PA,Universidade Federal do Oeste do Pará,18,0.42%
70,PI,Universidade Estadual do Piauí,16,0.37%
71,PR,Universidade Estadual do Centro-Oeste,14,0.32%
72,PR,Universidade Estadual do Norte do Paraná,14,0.32%
73,RS,Universidade Federal de Rio Grande,14,0.32%
